Feature	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
Feature 0	0.2057437384060456	0.18563962039952905	0.0	0.017295191069147117	0.0	0.05975467421298256	0.1785657830342946	0.13461510618037667	0.10164813020720884	0.1016989658624353	0.09628895886953197	0.08820831827731596	0.18699873469467115
Feature 1	0.4377206568208651	0.0	0.031138702813929574	0.05504353452667974	0.05320049254504949	0.024759074956965096	0.054935520521267926	0.013851817947121665	0.0	0.0	0.4046211606863245	0.04341901482286074	0.3834981403758059
Feature 2	0.9654557932381148	0.002820131709170208	0.0	0.0	0.02692770484468321	0.02597851833566805	0.008170354547255827	0.01995729261239911	0.06058681300747195	0.010433722068456205	0.02682756429035509	0.0	0.2511485599208122
Feature 3	0.0	1.0923100567038169	0.0	0.03562391444672827	0.0	0.0	0.0	0.006719356455184544	0.01239279972255373	0.12062259412303067	0.00031176856747699245	0.034840188334146927	0.0
Feature 4	0.0022504038833764863	0.9792811613893532	0.0	0.0	0.0	0.0	0.04466289436249555	0.059365315430558736	0.030097746918215467	0.04359430550722922	0.0	0.0	0.0
Feature 5	0.0	0.7101529547647928	0.0	0.03283715880144287	0.0	0.010995173093441914	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Feature 6	0.0	0.0	1.3626797470193552	0.0	0.01200740594467385	0.0	0.0	0.0	0.12362633482967372	0.0	0.0	0.0	0.0
Feature 7	0.0	0.0	1.147073526766384	0.004905955124372799	0.0	0.0	0.011997721237454826	0.0	0.05255334292307054	0.0	0.06296692065336214	0.0	0.010917008928105956
Feature 8	0.08116072516023193	0.0027139123063272892	0.5206565187671812	0.0	0.028229478783540467	0.0	0.0	0.005131390299257817	0.029476981348468437	0.07035413535314512	0.01889921809373311	0.03035815355544545	0.3684477329225983
Feature 9	0.16520184678785152	0.0	0.0	0.4022136908884842	0.0	0.0	0.0	0.0	0.03977019667917313	0.0	0.21939049518154508	0.014054992584035884	0.0
Feature 10	0.0	0.05762680416215175	0.0400813398022184	0.6749940262307379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Feature 11	0.0	0.0	0.07266230971073555	0.4121258715077656	0.0	0.15359269590623373	0.0	0.07022403752183046	0.02054071188914646	0.1890570135311196	0.0	0.0	0.12930980712176648
Feature 12	0.0	0.0	0.0	0.0	2.141255377305892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Feature 13	0.02990948261970572	0.0	0.0	0.045331264597149735	1.2685000832195747	0.0	0.0	0.0	0.009855512126514006	0.0	0.1147879761763937	0.020145818140238067	0.0
Feature 14	0.1241943005057178	0.10178903463206723	0.05091128783880098	0.032288448647731574	0.19274537720134727	0.05618796937758856	0.06514128436292373	0.016573194985508948	0.0375826610089903	0.11772273155461806	0.0	0.043824258587731035	0.08720907509559465
Feature 15	0.0	0.02283819948878264	0.015857283465971712	0.0	0.04414713990731012	0.1294264847164416	0.01916326321160194	0.010686114944116431	0.0	0.08899135038007917	0.03669153497931736	0.007363225137109621	0.04324340256512895
Feature 16	0.0	0.007218259180102516	0.048335170387448584	0.006207485471050852	0.0	1.6446120785625522	0.0	0.0	0.0	0.0	0.0	0.004829003513961503	0.0
Feature 17	0.0	0.0	0.0	0.0	0.014665127233651924	1.2813899880856952	0.007644443976880502	0.0	0.0	0.0013668372223139074	0.028194142104643338	0.0	0.008036699498240582
Feature 18	0.16505978364142318	0.04580068019966792	0.0	0.013386185269929749	0.0636601073788893	0.0	0.24367048903825736	0.0805138348928594	0.08712894815778657	0.0	0.0	0.0	0.026020616519701896
Feature 19	0.12114726508441732	0.0	0.03956700623167283	0.0	0.0	0.06984131836612427	0.9981608097267936	0.08651347509715028	0.04706858137898395	0.0	0.05965277636913058	0.0	0.335962505461552
Feature 20	0.0	0.027308464046117583	0.09304047698276452	0.11728629734362668	0.0	0.01779497685423761	0.6610422031938485	0.0	0.0	0.0	0.047493685737265784	0.022662930179527405	0.0
Feature 21	0.1310937611826505	0.0	0.0	0.21882037544700486	0.0	0.10639470659316326	0.0	0.5479826374264234	0.0	0.1966520464833696	0.0	0.0	0.09188797821761832
Feature 22	0.0	0.0	0.0	0.1070375742244986	0.0	0.0	0.0	0.7223011941029756	0.016349289042811178	0.0	0.0	0.0	0.0
Feature 23	0.0	0.0	0.0	0.0	0.0050404491924824	0.04058314767887783	0.003711253586909848	0.14757876287110058	1.8951960797236067	0.016337354345350802	0.0	0.0	0.0
Feature 24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.451391838733638	0.0	0.0	0.0	0.0
Feature 25	0.022260130584320737	0.0	0.004774760616002407	0.0	0.0	0.006936803615187398	0.0017516629148264214	0.0020866394447163717	0.028464266250914493	0.0	0.0	0.0	0.0
Feature 26	0.03692859634548658	0.03266352176514965	0.013759233557879731	0.010620531899295162	0.05111633116895253	0.0427478888061447	0.0477361523634264	0.0	0.024358969797772124	0.17502199009108838	0.0	0.022116452040257268	0.056931927318880075
Feature 27	0.0	0.0	0.007773371325456223	0.07034676030663006	0.06410175320110716	0.012613649905154073	0.0	0.0	0.030733574585257138	0.1895624275481877	0.10999851116594757	0.04525932146973941	0.15814443941556436
Feature 28	0.048119056401792995	0.013627668228217055	0.03893460142840382	0.010386736798079738	0.04074811646773728	0.015237890790584682	0.004556759896303502	0.057892608885751824	0.0023288690347321285	0.16029269727282716	0.02230716427103674	0.037975252682893104	0.1567719258724014
Feature 29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5215644943157893	0.0	0.0
Feature 30	0.3993734672743309	0.027148185283299882	0.3587153447507488	0.0	0.0	0.0	0.0	0.0	0.0	0.016149162565107344	0.6874241668419248	0.0	0.0
Feature 31	0.3114863055008549	0.0	0.0	0.16963145625436607	0.0	0.0	0.0	0.0	0.02328865573194215	0.0	0.7463971700329652	0.0	0.0
Feature 32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3676419303858314	0.0
Feature 33	0.0	0.02179643612392757	0.0	0.13809212620465874	0.04741439125920725	0.0	0.06767742051680277	0.0	0.1698103489673564	0.0	0.0	0.5669201709063861	0.0
Feature 34	0.08808789651701603	0.016745089895918837	0.15563140875397002	0.03570042020078766	0.011724373041524723	0.12967168779152924	0.0566831074470954	0.0	0.015744880639691546	0.13178371648620305	0.0	0.2457211083107106	0.0
Feature 35	0.3675933379160586	0.018132447514259714	0.016275194882015294	0.04974180041594206	0.0	0.0	0.08220702525249063	0.0	0.0321770380827926	0.011815700804317951	0.03504478919565128	0.015330173116184532	1.0431306932928657
Feature 36	0.1825401855529981	0.2649266472843368	0.0	0.0	0.2459144776501649	0.0	0.0	0.2817003101595424	0.0	0.0	0.0	0.0	1.2158053312578916
Feature 37	0.20534309184549848	0.042693515811715814	0.042715658142282543	0.0	0.09444863500000666	0.18427772181131846	0.2638417224807327	0.0395910489196026	0.0	0.011622323104426848	0.05034428381299971	0.06999849116094768	0.5463884681150759
Feature 38	0.06554688059132525	0.0	0.0	0.16292897483575172	0.0	0.05319735329658163	0.0	0.6351419157646995	0.008174644521405589	0.0983260232416848	0.0	0.0	0.04594398910880916
Feature 39	0.06554688059132525	0.0	0.0	0.16292897483575172	0.0	0.05319735329658163	0.0	0.6351419157646995	0.008174644521405589	0.09832602324168478	0.0	0.0	0.04594398910880917
